id,n_roh,mean_roh_kb,min_roh_kb,max_roh_kb,sum,Froh_genome
D237371,3,1255.27433333333,1131.343,1326.422,3765823,0.00374982600601928
D237378,6,1619.26383333333,1042.861,2379.92,9715583,0.0096743117764799
D237379,2,1311.353,1305.255,1317.451,2622706,0.00261156489960968
D237385,4,1230.71425,1096.424,1383.987,4922857,0.00490194499383377
D237389,4,1841.29275,1171.938,3110.445,7365171,0.00733388418801921
D237391,5,1932.4436,1347.971,2804.777,9662218,0.00962117346785221
D243901,10,1554.7587,1004.154,3184.514,15547587,0.0154815417674828
D243907,2,1517.911,1448.547,1587.275,3035822,0.00302292600720891
D243916,27,2341.58540740741,1069.977,7900.391,63222806,0.0629542392492456
D243918,22,3390.534,1101.265,9738.937,74591748,0.0742748866542153
D243930,14,1588.50814285714,1040.106,2961.092,22239114,0.0221446435554798
D243937,17,2387.78382352941,1016.121,13833.635,40592325,0.0404198911976975
D243940,13,1502.137,1005.243,2431.781,19527781,0.0194448281381385
D243950,8,1679.910875,1044.124,2537.36,13439287,0.0133821977015268
D244001,11,1224.405,1016.952,1562.51,13468455,0.0134112417975833
D244005,9,1458.04066666667,1022.518,2257.371,13122366,0.0130666229632416
D244017,3,1178.124,1100.374,1230.918,3534372,0.00351935819621538
D244025,11,2321.16718181818,1042.264,5393.587,25532839,0.0254243770059568
D244027,6,2363.33283333333,1065.61,5693.026,14179997,0.0141197612091369
D244029,18,1795.46594444444,1001.726,4112.317,32318387,0.0321811003982916
D244032,16,1552.3051875,1023.892,3818.251,24836883,0.0247313773859946
D244033,10,1528.4244,1032.025,2258.014,15284244,0.0152193174330138
D244042,9,1786.51377777778,1022.114,2722.878,16078624,0.0160103229536295
D244045,13,1591.65384615385,1008.389,3947.044,20691500,0.0206036037284673
D244054,5,1313.6292,1090.257,1620.695,6568146,0.00654024490320749
D244055,14,1763.231,1009.886,3086.647,24685234,0.0245803725820017
D244073,13,1480.22438461538,1000.912,2287.219,19242917,0.0191611742236081
D244077,8,2739.980375,1015.344,5981.457,21919843,0.0218267287998559
D244083,12,1831.25908333333,1008.06,3534.314,21975109,0.0218817600331477
D244086,9,1362.23422222222,1012.059,1900.867,12260108,0.0122080277843661
D244087,18,2717.19588888889,1132.4,9706.521,48909526,0.0487017612184312
D244090,3,1116.179,1072.835,1139.711,3348537,0.00333431261233409
D244112,36,3089.62452777778,1043.583,9425.764,111226483,0.110753999460798
D244123,12,1619.25516666667,1006.718,3377.822,19431062,0.0193485199947457
D244139,19,1753.63931578947,1001.391,3380.194,33319147,0.0331776092288404
D244143,10,1945.7137,1020.755,7078.413,19457137,0.0193744842296837
D244144,12,1415.60791666667,1075.577,1796.304,16987295,0.0169151339728185
D244147,18,2063.9,1058.511,4784.896,37150200,0.0369923881416672
D244162,11,1660.17663636364,1011.41,3350.797,18261943,0.0181843673432983
D244163,16,2453.3799375,1027.832,5315.087,39254079,0.0390873299877704
D244168,6,1688.77066666667,1004.499,3105.794,10132624,0.0100895812109106
D244179,12,1285.64141666667,1007.558,1943.091,15427697,0.0153621610531312
D244183,5,1336.4516,1072.119,1723.665,6682258,0.00665387216216227
D244186,10,1363.1172,1030.742,1810.058,13631172,0.013573267585365
D247994,10,1666.484,1016.058,2939.496,16664840,0.0165940487426388
