parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
r_site:id[NYR_D229714,Intercept],0.95,0.8,median,-0.487293599418264,-0.27972625873134,0.145531390014896,0.57876818347199,0.845316145918804
r_site:id[NYR_D229716,Intercept],0.95,0.8,median,-0.631138968392736,-0.389638015773207,0.034238195511138,0.421230235271719,0.680342008667387
r_site:id[NYR_D229718,Intercept],0.95,0.8,median,-0.923537543624954,-0.740898262033667,-0.362603407801999,-0.00972174295641623,0.158217436372192
r_site:id[NYR_D229770,Intercept],0.95,0.8,median,-0.823317604231028,-0.558279030331397,-0.126384069727407,0.275251305188006,0.481927655100293
r_site:id[NYR_D229771,Intercept],0.95,0.8,median,-0.715456878250072,-0.484062469473115,-0.046012201316083,0.373018646338301,0.612279098405264
r_site:id[NYR_D229772,Intercept],0.95,0.8,median,-1.05547161900219,-0.775270100334866,-0.359432357336408,0.0499442167366789,0.258116789617063
r_site:id[NYR_D229783,Intercept],0.95,0.8,median,-0.518983210713062,-0.281032520072964,0.0747149026981626,0.500997305552171,0.70819508414635
r_site:id[NYR_D229784,Intercept],0.95,0.8,median,-0.144884475776573,0.0412526985205409,0.421920846133032,0.880273970765206,1.16565722105192
r_site:id[NYR_D237276,Intercept],0.95,0.8,median,-0.703996582899463,-0.470786739997196,-0.0385550098684571,0.387325672787822,0.618087978288192
r_site:id[NYR_D237277,Intercept],0.95,0.8,median,-0.430140236654313,-0.207284640446632,0.198675354320045,0.638268281296394,0.920251220761992
r_site:id[NYR_D237278,Intercept],0.95,0.8,median,-0.706188498519892,-0.480981102656889,-0.0307430778068863,0.372531027205674,0.652365453848311
r_site:id[NYR_D237360,Intercept],0.95,0.8,median,-0.915074680010548,-0.663928333384548,-0.211998026285666,0.202516535673702,0.454093517613314
r_site:id[NYR_D237361,Intercept],0.95,0.8,median,-0.629111806353389,-0.409336366532376,-0.0171821407505302,0.349653779960467,0.548944007607784
r_site:id[NYR_D237378,Intercept],0.95,0.8,median,-0.933838786138429,-0.666477447873919,-0.206497793989607,0.199163951023163,0.408937939770612
r_site:id[NYR_D237379,Intercept],0.95,0.8,median,-0.468579165316076,-0.248417976436036,0.169171315227076,0.637056549651093,0.90861950645784
r_site:id[NYR_D237391,Intercept],0.95,0.8,median,-0.696319371353686,-0.51042771833476,-0.162374776739846,0.152559312816311,0.334976403825915
r_site:id[NYR_D237394,Intercept],0.95,0.8,median,-1.03725831265094,-0.778271210992378,-0.348279578133086,0.0250627523646549,0.193064960219789
r_site:id[NYR_D243901,Intercept],0.95,0.8,median,-0.519925965747993,-0.298592860157605,0.0798545366160574,0.476099519796448,0.700528887453102
r_site:id[NYR_D243916,Intercept],0.95,0.8,median,-0.345410168716923,-0.122798579569604,0.251406331784239,0.674196706406019,0.911063563673839
r_site:id[NYR_D243918,Intercept],0.95,0.8,median,-0.881613853730109,-0.620776479362165,-0.170479492598822,0.238863371971068,0.471806010722275
r_site:id[NYR_D244032,Intercept],0.95,0.8,median,-0.367805728661475,-0.160137503958083,0.206725520142235,0.582177679807379,0.783594015519065
r_site:id[NYR_D244033,Intercept],0.95,0.8,median,-0.50904163327659,-0.29034271559479,0.109722596298245,0.548684794572007,0.784809665682105
r_site:id[NYR_D244077,Intercept],0.95,0.8,median,-0.986336143468373,-0.726064036691237,-0.255299312030361,0.168348001518249,0.359962987546045
r_site:id[NYR_D244162,Intercept],0.95,0.8,median,-0.858149765793071,-0.616643934711439,-0.181279121726331,0.191415816064582,0.409986994720299
r_site:id[NYR_D244163,Intercept],0.95,0.8,median,-0.750065176467444,-0.501377536826909,-0.0862738974655422,0.331127944233824,0.585288719786818
r_site:id[NYR_D244168,Intercept],0.95,0.8,median,-0.637564282237927,-0.433884843922599,-0.0897427339979263,0.25221117186996,0.410317520043877
r_site:id[NYR_D244179,Intercept],0.95,0.8,median,-1.06688431632286,-0.873654914485892,-0.447454844828874,-0.0703756278662876,0.133963743623081
r_site:id[NYR_D247994,Intercept],0.95,0.8,median,-0.651897406343151,-0.419514489580548,-0.0268680900942029,0.359880017899743,0.570840154794104
