parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[KUM_D244147,Intercept]	0.95	0.8	median	0.1579775747888442	0.4272870415712508	0.975937969684274	1.5597468404120476	1.8459670876563827
r_site:id[KUM_D244183,Intercept]	0.95	0.8	median	-0.9968521930608754	-0.780808118394745	-0.3111061807288341	0.14857391262873645	0.38989833676552804
r_site:id[KUM_D244186,Intercept]	0.95	0.8	median	-0.7769015955417957	-0.5630278677682528	-0.13719004401128673	0.2898259682411739	0.4789853019486924
r_site:id[LEH_D211334,Intercept]	0.95	0.8	median	-0.7251795523995842	-0.4759985154778743	-2.1079131289243014e-4	0.4603476385061114	0.7141285231798913
r_site:id[LEH_D211490,Intercept]	0.95	0.8	median	-0.901240237442749	-0.5661008599538643	0.03700760377971	0.6098047819184325	0.8999404930677575
r_site:id[LEH_D217891,Intercept]	0.95	0.8	median	-0.43323548971620557	-0.14939976587253967	0.38319547420162026	0.9055370793235863	1.1954888263687182
r_site:id[LEH_D229032,Intercept]	0.95	0.8	median	-0.9583333010027381	-0.6912093575389529	-0.21898934862130573	0.2181920113244058	0.45905540136021644
r_site:id[LEH_D229051,Intercept]	0.95	0.8	median	-0.6839394670822998	-0.40613202232776935	0.07337623408264823	0.584624663264385	0.8667537798873057
r_site:id[LEH_D229054,Intercept]	0.95	0.8	median	-0.5545637822633173	-0.2367720488722998	0.3391842555914276	0.9397122037840869	1.3003575728318526
r_site:id[LEH_D229055,Intercept]	0.95	0.8	median	-1.1515867581164065	-0.8046090891148601	-0.19947463147462088	0.37373981580815013	0.6522759599278941
r_site:id[LEH_D229056,Intercept]	0.95	0.8	median	-1.1672879895374637	-0.8864484746059123	-0.32665562902200107	0.1585370536788955	0.4165864437203507
r_site:id[LEH_D229133,Intercept]	0.95	0.8	median	-0.23474760422420654	-0.022761199360011527	0.4231148647092875	0.8695628588661735	1.1070720139870844
r_site:id[LEH_D229518,Intercept]	0.95	0.8	median	-0.8882456421008393	-0.5501867955338261	0.07493485093274624	0.6501524571198936	0.9454046648924902
r_site:id[LEH_D229560,Intercept]	0.95	0.8	median	-1.0425173035320479	-0.7168428033152621	-0.09544164616999053	0.5391138817260493	0.8606671971843267
r_site:id[LEH_D229630,Intercept]	0.95	0.8	median	-1.4039781456696612	-1.063156860338553	-0.4272712197767511	0.12895071224590582	0.374830130702054
r_site:id[LEH_D229646,Intercept]	0.95	0.8	median	-1.3591203641348426	-1.1194310374638965	-0.6534783133436844	-0.18208734948646602	0.05576623729520523
r_site:id[LEH_D229648,Intercept]	0.95	0.8	median	-1.0588377397143895	-0.7920688781643024	-0.1819468428289135	0.3915032951178499	0.6635155745290046
r_site:id[LEH_D229740,Intercept]	0.95	0.8	median	-0.6453533587006935	-0.36213624764903213	0.22939366281331625	0.8428350542420495	1.1261443578628871
r_site:id[LEH_D229742,Intercept]	0.95	0.8	median	-0.926249785255954	-0.7200030462517812	-0.29068698713805785	0.13932507173920355	0.33223564840842845
r_site:id[LEH_D229776,Intercept]	0.95	0.8	median	-0.9720090749926265	-0.6779805841592422	-0.05135861798609555	0.5299574273527624	0.8801190270327217
r_site:id[LEH_D237300,Intercept]	0.95	0.8	median	-0.9609854854665152	-0.5842411308908091	-0.025294389382999757	0.5209184225387924	0.8004010698115785
r_site:id[LEH_D237307,Intercept]	0.95	0.8	median	-0.5443805789131797	-0.22269560900336624	0.3400341965525267	0.9559528603578281	1.2779363669949526
r_site:id[LEH_D243906,Intercept]	0.95	0.8	median	-1.1180123863128866	-0.7975684557795045	-0.2012917031366116	0.3874230831150658	0.7154151395019736
r_site:id[LEH_D243907,Intercept]	0.95	0.8	median	-0.6934907575736827	-0.3498476183197324	0.205750448089422	0.7939973671476577	1.1086068788697057
r_site:id[LEH_D243950,Intercept]	0.95	0.8	median	-0.7088854987898567	-0.4285744640921819	0.0800006960639999	0.6180500737630198	0.8767596788584644
r_site:id[LEH_D244001,Intercept]	0.95	0.8	median	-0.7506917128425957	-0.3940993583350337	0.17282887675112568	0.7568383271012676	1.1435944586281814
r_site:id[LEH_D244042,Intercept]	0.95	0.8	median	-1.4215029204240588	-1.0955379360996684	-0.46214436129587405	0.12254975739357363	0.3959353638361165
r_site:id[LEH_D244054,Intercept]	0.95	0.8	median	-0.7588402456511701	-0.4649150620506696	0.10918269047796117	0.6928719947340543	1.0142508937647712
r_site:id[LEH_D244055,Intercept]	0.95	0.8	median	-1.1755790163052515	-0.8362994207541327	-0.24153000656228363	0.35148611887142395	0.6487593806276896
r_site:id[LEH_D244083,Intercept]	0.95	0.8	median	-0.36490460546497616	-0.08775706447965789	0.39805200808157903	0.9311406279635953	1.2298299864271933
r_site:id[LEH_D244090,Intercept]	0.95	0.8	median	-0.6999822967275408	-0.39706843172871326	0.1538307199952479	0.7699798306032287	1.0763308941120768
r_site:id[NYR_D154280,Intercept]	0.95	0.8	median	-0.5502639138951656	-0.25576184217621795	0.3281986390894772	0.910682878408382	1.2853179617411148
r_site:id[NYR_D154288,Intercept]	0.95	0.8	median	-0.4186298442062884	-0.17058489058216814	0.4582655924632013	1.0716012969687	1.4320323101714396
r_site:id[NYR_D211308,Intercept]	0.95	0.8	median	-1.2643191032598495	-0.9524839409937723	-0.44057641034391926	0.08442378687451313	0.3808254408591707
r_site:id[NYR_D211312,Intercept]	0.95	0.8	median	-0.6251917703519093	-0.3989171929441159	0.0653813109109193	0.5016996646352567	0.7437035854755183
r_site:id[NYR_D211320,Intercept]	0.95	0.8	median	-1.2777681286512572	-0.9567654524476225	-0.4100964371611927	0.1040571727548141	0.3491681015516399
r_site:id[NYR_D211349,Intercept]	0.95	0.8	median	-1.3210227353755406	-1.050712484454086	-0.5727612610970393	-0.11020186164261715	0.1312745529451393
r_site:id[NYR_D211350,Intercept]	0.95	0.8	median	-1.1497485837691437	-0.8113079518961152	-0.17641344242556803	0.41016362928666394	0.6986298411245787
r_site:id[NYR_D211411,Intercept]	0.95	0.8	median	-0.717578483840605	-0.4228808838118112	0.05998809813310978	0.5839232920220512	0.8122482507870754
r_site:id[NYR_D211412,Intercept]	0.95	0.8	median	-1.1226478050649256	-0.7739885431875325	-0.14469927327376847	0.439837614649724	0.7353962199139501
r_site:id[NYR_D211431,Intercept]	0.95	0.8	median	-1.2716743190835127	-0.9466212945233826	-0.35229809891159203	0.2271263025348747	0.49321490112990757
r_site:id[NYR_D211461,Intercept]	0.95	0.8	median	-0.9325429395093972	-0.6096178285635514	-0.027980750153370267	0.56191763270429	0.8582596579770932
r_site:id[NYR_D217821,Intercept]	0.95	0.8	median	-0.6384080706853521	-0.41247426898092737	0.05554742015871687	0.5078877306720462	0.778614135315302
r_site:id[NYR_D217870,Intercept]	0.95	0.8	median	-1.295667617624367	-0.9528931523286567	-0.35741538654406724	0.20845538831230734	0.5097210919060611
r_site:id[NYR_D217910,Intercept]	0.95	0.8	median	-0.44773503355916433	-0.23071046887893296	0.2753225769041119	0.7377012339632498	0.9731547504763074
r_site:id[NYR_D217911,Intercept]	0.95	0.8	median	-0.785091884357026	-0.5208220964146694	-0.018914461902695405	0.47084953838469623	0.737947765702152
r_site:id[NYR_D217947,Intercept]	0.95	0.8	median	-0.158404495638197	0.08500436478475816	0.5405006281967032	1.0271828168663875	1.2806014374177372
