parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[NYR_D211461,Intercept]	0.95	0.8	median	-0.32666640012237236	-0.11567604865038617	0.277539497035167	0.7055748527437165	1.000794503097268
r_site:id[NYR_D217821,Intercept]	0.95	0.8	median	-0.31241031458643753	-0.1195619950417264	0.21718344379266663	0.6105077135631654	0.8087970229955236
r_site:id[NYR_D217870,Intercept]	0.95	0.8	median	-0.7496353762800358	-0.5146019940840889	-0.06294020097279857	0.35214231508294486	0.5773071688119965
r_site:id[NYR_D217910,Intercept]	0.95	0.8	median	-0.6099772248463148	-0.38253508592222796	1.588673374343971e-4	0.39915540301740626	0.6314299399093154
r_site:id[NYR_D217911,Intercept]	0.95	0.8	median	-0.36175014285310036	-0.16384564804185445	0.23065944372435748	0.6609790282468466	0.8870686295285661
r_site:id[NYR_D217947,Intercept]	0.95	0.8	median	-0.8292423302710352	-0.636833991745604	-0.27173897384477047	0.0748670987298237	0.2481588068294537
r_site:id[NYR_D217949,Intercept]	0.95	0.8	median	-0.35994647107488514	-0.134300339453464	0.2628218656026021	0.7194909383879423	0.944489573341416
r_site:id[NYR_D217961,Intercept]	0.95	0.8	median	-0.47026038287471517	-0.2827377140023811	0.07414442450725144	0.41443050762594524	0.5874297737143005
r_site:id[NYR_D217964,Intercept]	0.95	0.8	median	-0.1594931185750401	0.01598902324971363	0.3844959645710798	0.7935046812535596	0.9980917337688883
r_site:id[NYR_D217965,Intercept]	0.95	0.8	median	-0.620573542254826	-0.4567606971431405	-0.11515220548247204	0.20561349044967472	0.39327753191124465
r_site:id[NYR_D229082,Intercept]	0.95	0.8	median	-0.6839816430277578	-0.4763229541021893	-0.09044905774268222	0.28879559569586183	0.5364702947314777
r_site:id[NYR_D229093,Intercept]	0.95	0.8	median	-0.8121068919309293	-0.5652608626534597	-0.17159317994046852	0.18239409188237227	0.39459391475666244
r_site:id[NYR_D229096,Intercept]	0.95	0.8	median	-1.2177372920362415	-1.011946091056606	-0.6329802496051036	-0.26802382254327883	-0.07252182057391886
r_site:id[NYR_D229154,Intercept]	0.95	0.8	median	-0.8801263745974577	-0.6516870679782283	-0.25100343246243717	0.11204628440285497	0.2925743077766977
r_site:id[NYR_D229556,Intercept]	0.95	0.8	median	-0.3991125382652862	-0.20615044620250378	0.16245218818528917	0.5355361770968652	0.7660235464749965
r_site:id[NYR_D229714,Intercept]	0.95	0.8	median	-0.48729359941826417	-0.27972625873134016	0.14553139001489618	0.5787681834719902	0.8453161459188037
r_site:id[NYR_D229716,Intercept]	0.95	0.8	median	-0.6311389683927362	-0.38963801577320734	0.034238195511137985	0.4212302352717193	0.6803420086673867
r_site:id[NYR_D229718,Intercept]	0.95	0.8	median	-0.9235375436249535	-0.7408982620336667	-0.3626034078019985	-0.009721742956416235	0.15821743637219232
r_site:id[NYR_D229770,Intercept]	0.95	0.8	median	-0.8233176042310275	-0.5582790303313966	-0.12638406972740734	0.27525130518800617	0.4819276551002925
r_site:id[NYR_D229771,Intercept]	0.95	0.8	median	-0.7154568782500722	-0.48406246947311476	-0.04601220131608298	0.37301864633830056	0.6122790984052641
r_site:id[NYR_D229772,Intercept]	0.95	0.8	median	-1.0554716190021927	-0.7752701003348663	-0.3594323573364076	0.04994421673667895	0.25811678961706297
r_site:id[NYR_D229783,Intercept]	0.95	0.8	median	-0.5189832107130623	-0.28103252007296436	0.07471490269816264	0.5009973055521713	0.7081950841463496
r_site:id[NYR_D229784,Intercept]	0.95	0.8	median	-0.14488447577657293	0.04125269852054095	0.42192084613303155	0.8802739707652055	1.1656572210519214
r_site:id[NYR_D237276,Intercept]	0.95	0.8	median	-0.7039965828994627	-0.47078673999719556	-0.0385550098684571	0.3873256727878219	0.6180879782881924
r_site:id[NYR_D237277,Intercept]	0.95	0.8	median	-0.4301402366543129	-0.20728464044663192	0.19867535432004477	0.6382682812963936	0.9202512207619923
