parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
r_site:id[SAA_D229777,Intercept],0.95,0.8,median,-1.60588611105473,-1.01559001405098,-0.081567311945873,0.78770379037231,1.139651380909
r_site:id[SAA_D229780,Intercept],0.95,0.8,median,-1.55744870483056,-1.08993380384698,-0.282781243351831,0.474173579525908,0.774825098873281
r_site:id[SAA_D237232,Intercept],0.95,0.8,median,-1.85761017142945,-1.3453152492639,-0.389689258444325,0.465350481242255,0.879825355311048
r_site:id[SAA_D237355,Intercept],0.95,0.8,median,-2.09125042511757,-1.30897454398824,-0.116839073328678,1.03403932406092,1.64055682758318
r_site:id[SAA_D237369,Intercept],0.95,0.8,median,-1.91826313473337,-1.22309284518445,-0.0411384749671796,1.14951084764562,1.84723274007553
r_site:id[SAA_D237371,Intercept],0.95,0.8,median,-2.01945692246747,-1.41165175128005,-0.212860004176436,0.870164731338986,1.52147074987189
r_site:id[SAA_D244005,Intercept],0.95,0.8,median,0.556449266731091,0.862910044135702,1.44435192426261,2.04698789030192,2.36292723921274
r_site:id[SAA_D244029,Intercept],0.95,0.8,median,-2.01899506552178,-1.29761640492726,-0.0301282025858448,1.11187277049358,1.76141322948296
r_site:id[SAA_D244073,Intercept],0.95,0.8,median,-2.10260519571165,-1.4469183462576,-0.336032008526653,0.863984554127252,1.52758793642011
r_site:id[SAA_D244086,Intercept],0.95,0.8,median,-2.20579734613816,-1.5424754498282,-0.382429020577442,0.865921688567578,1.62618653243337
r_site:id[SAA_D244087,Intercept],0.95,0.8,median,-2.06107628743822,-1.40569276237984,-0.222113556011209,0.914975739409131,1.53833218544614
r_site:id[SAA_D244123,Intercept],0.95,0.8,median,-1.51049570336244,-1.03874875760251,-0.261710795875347,0.552377732767572,0.944750871859669
r_site:id[TEE_D154259,Intercept],0.95,0.8,median,-1.52344804590256,-1.09617979645346,-0.300936139292149,0.420759501974989,0.78228771710661
r_site:id[TEE_D154299,Intercept],0.95,0.8,median,-2.19510356001975,-1.51360804853225,-0.316020734587843,0.880660930275925,1.50532708994778
r_site:id[TEE_D211445,Intercept],0.95,0.8,median,0.0807112825192588,0.334079593549292,0.817872134306907,1.34415167915317,1.60998546021696
r_site:id[TEE_D211451,Intercept],0.95,0.8,median,-2.04709614574214,-1.39335541883141,-0.26826554517949,0.894203854877779,1.58089673037118
r_site:id[TEE_D217810,Intercept],0.95,0.8,median,-1.21316119335057,-0.803821022562301,-0.00408136269495793,0.751074486611356,1.11662294537629
r_site:id[TEE_D217831,Intercept],0.95,0.8,median,-1.23799114796126,-0.827398289888484,-0.146964764418518,0.540430463293382,0.859922532439017
r_site:id[TEE_D217835,Intercept],0.95,0.8,median,-1.91939532152788,-1.27937814717952,-0.117132993119526,0.997209338028958,1.62783552909492
r_site:id[TEE_D217864,Intercept],0.95,0.8,median,-2.01339080419261,-1.29228981607789,-0.10596405334686,1.08682284790634,1.661069876969
r_site:id[TEE_D217993,Intercept],0.95,0.8,median,-2.30182677371455,-1.78326314861174,-0.845308172237443,0.0132531263752046,0.453736218987973
r_site:id[TEE_D229063,Intercept],0.95,0.8,median,0.803284301683685,1.1757693840392,1.98850754386037,2.75675482639951,3.1841083129971
r_site:id[TEE_D229155,Intercept],0.95,0.8,median,-1.77382222904679,-1.28258120334237,-0.356041754280993,0.520737087707738,0.973712003122394
r_site:id[TEE_D229675,Intercept],0.95,0.8,median,-1.96759377967396,-1.33700688926633,-0.139009503440418,0.99915299829113,1.68841644413784
