parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.25620229579507,0.340248197293645,0.448797154874898,0.57122267435926,0.658864249570118
r_site:id[LEH_D244001,Intercept],0.95,0.8,median,-0.692223078074759,-0.436699913856352,-0.0785910050048736,0.200061259782474,0.375189219683862
r_site:id[LEH_D244042,Intercept],0.95,0.8,median,-0.500677484460396,-0.292213237465692,0.0296541720313916,0.374359763519207,0.600680302075193
r_site:id[LEH_D244054,Intercept],0.95,0.8,median,-0.395716983865017,-0.222065172117546,0.072595522127262,0.451057195327387,0.691767525273815
r_site:id[LEH_D244055,Intercept],0.95,0.8,median,-0.750583749577911,-0.561838936322348,-0.188331425005037,0.0762797579561888,0.249235295473408
r_site:id[LEH_D244083,Intercept],0.95,0.8,median,-0.373264164018807,-0.203939055900314,0.0808415242851669,0.413794012706056,0.619828657209189
r_site:id[LEH_D244090,Intercept],0.95,0.8,median,-0.407703997904853,-0.240568608973488,0.0763138477280789,0.434219390150827,0.659157574123103
r_site:id[NYR_D154280,Intercept],0.95,0.8,median,-0.672866973114395,-0.449925968062383,-0.0935535314589067,0.171740498655263,0.356506554014435
r_site:id[NYR_D154288,Intercept],0.95,0.8,median,-0.574324109039831,-0.412805444412977,-0.0739944379252865,0.210005812392915,0.370642162702045
r_site:id[NYR_D211308,Intercept],0.95,0.8,median,-0.24425449855677,-0.0842935801123551,0.183524170048618,0.60680745026215,0.812610932442669
r_site:id[NYR_D211312,Intercept],0.95,0.8,median,-0.576692314427315,-0.397344122795502,-0.0785121639073343,0.170778107289866,0.334145412313814
r_site:id[NYR_D211320,Intercept],0.95,0.8,median,-0.639657377111656,-0.444683082198915,-0.124276581335852,0.132716134695086,0.307873556401098
r_site:id[NYR_D211349,Intercept],0.95,0.8,median,-0.240261079762924,-0.0867013763631575,0.2027830258781,0.559993003666481,0.752001524766224
r_site:id[NYR_D211350,Intercept],0.95,0.8,median,-0.328665585371939,-0.151747006766313,0.150665922638723,0.569336145744056,0.794635087918935
r_site:id[NYR_D211411,Intercept],0.95,0.8,median,-0.4192404555662,-0.242081748407112,0.0511636774027554,0.395566169501316,0.622449769126608
r_site:id[NYR_D211412,Intercept],0.95,0.8,median,-0.308646998415551,-0.139516788946959,0.171414343116305,0.584368381058758,0.870633675497109
r_site:id[NYR_D211431,Intercept],0.95,0.8,median,-0.586644577586632,-0.368792686104718,-0.0310369307921704,0.2692958121675,0.4671756316244
r_site:id[NYR_D211461,Intercept],0.95,0.8,median,-0.714451709677547,-0.498072554950283,-0.134774533868615,0.141344401374996,0.302348598377944
r_site:id[NYR_D217821,Intercept],0.95,0.8,median,-0.542306959857792,-0.374296420006817,-0.0815972859191882,0.181395921887792,0.336610648274383
r_site:id[NYR_D217870,Intercept],0.95,0.8,median,-0.285020688842757,-0.121058203485837,0.155503019442266,0.558901885896307,0.798445982283285
r_site:id[NYR_D217910,Intercept],0.95,0.8,median,-0.273961607102473,-0.130011451421319,0.131734916432645,0.469130038341368,0.659737373045114
r_site:id[NYR_D217911,Intercept],0.95,0.8,median,-0.404796405676695,-0.228732438746379,0.0577139553010821,0.382173415346037,0.581587863153222
r_site:id[NYR_D217947,Intercept],0.95,0.8,median,-0.66009602547692,-0.471142863980373,-0.137674341198138,0.12159595213005,0.258369162222892
r_site:id[NYR_D217949,Intercept],0.95,0.8,median,-0.478521620299729,-0.292699181133505,0.00816980218509989,0.307711544098019,0.493443085725878
r_site:id[NYR_D217961,Intercept],0.95,0.8,median,-0.215034866671799,-0.0671313768523765,0.177240197054366,0.504146046211923,0.681722749230396
r_site:id[NYR_D217964,Intercept],0.95,0.8,median,-0.330020805833597,-0.173850120658982,0.10883746705679,0.465218301531646,0.701320710875383
r_site:id[NYR_D217965,Intercept],0.95,0.8,median,-0.661612590666582,-0.479450641377779,-0.135832757262751,0.120747530244278,0.261937925908839
r_site:id[NYR_D229082,Intercept],0.95,0.8,median,-1.0213275152778,-0.765040324127572,-0.317103555822632,-0.00737606695251853,0.125200293242892
r_site:id[NYR_D229093,Intercept],0.95,0.8,median,-0.98195278110137,-0.741770743029025,-0.286304833168874,0.0228021294688258,0.179089916523153
r_site:id[NYR_D229096,Intercept],0.95,0.8,median,-0.644718763357941,-0.488276710734935,-0.176329603175439,0.0609220045823625,0.208900131005018
r_site:id[NYR_D229154,Intercept],0.95,0.8,median,-0.329301836718084,-0.170704269539899,0.0879465483822516,0.433751093120376,0.598742625891528
r_site:id[NYR_D229556,Intercept],0.95,0.8,median,-0.739950101036688,-0.527468458580986,-0.168156286883826,0.0967036288928602,0.244127037406918
r_site:id[NYR_D229714,Intercept],0.95,0.8,median,-0.512225095205487,-0.296134116569884,0.0226690391815258,0.359053981043766,0.569619979721961
r_site:id[NYR_D229716,Intercept],0.95,0.8,median,-0.529933897232332,-0.327255373815001,0.00239987140247909,0.353264587881638,0.575513712117137
