parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[LEH_D243950,Intercept]	0.95	0.8	median	-0.2902735186889644	-0.12548667782660852	0.14164570880932031	0.4192176288650176	0.5881223065069213
r_site:id[LEH_D244001,Intercept]	0.95	0.8	median	-0.27732543405440746	-0.13723048771966107	0.1460485776473262	0.41935295298058717	0.5693094666171057
r_site:id[LEH_D244042,Intercept]	0.95	0.8	median	-0.5442385365355967	-0.3589697917055594	-0.030725163896324792	0.31423275102420256	0.49269460378104213
r_site:id[LEH_D244054,Intercept]	0.95	0.8	median	-0.3850788738134094	-0.21780664041276895	0.09137035269309116	0.42776796342582024	0.610168935624601
r_site:id[LEH_D244055,Intercept]	0.95	0.8	median	-0.2569250469918966	-0.11216351878137122	0.15118952223233018	0.435746574117077	0.5672610663024948
r_site:id[LEH_D244083,Intercept]	0.95	0.8	median	-0.5345948093622594	-0.39605311597949294	-0.1204044385639764	0.15572678635111076	0.3037305395893526
r_site:id[LEH_D244090,Intercept]	0.95	0.8	median	-0.6288390517818386	-0.4363671869195851	-0.11475590626713064	0.21361907212036368	0.39386254161888595
r_site:id[NYR_D154280,Intercept]	0.95	0.8	median	-0.4700103076002976	-0.28725844776724335	0.042750909637398485	0.3682334696927006	0.54255331337394
r_site:id[NYR_D154288,Intercept]	0.95	0.8	median	-0.4048477967845824	-0.2820545560800379	-7.052686737128129e-4	0.2668011613486334	0.4050013410479408
r_site:id[NYR_D211308,Intercept]	0.95	0.8	median	-0.645628862377017	-0.46787204904887714	-0.20361432307939342	0.0773743049641417	0.20971945410588744
r_site:id[NYR_D211312,Intercept]	0.95	0.8	median	-0.6223124425735801	-0.5090209387180289	-0.298663405392638	-0.07566780100564441	0.02831455894281747
r_site:id[NYR_D211320,Intercept]	0.95	0.8	median	-0.20722101653585942	-0.04769274514651998	0.24309055305988125	0.5173221720244969	0.655516425205924
r_site:id[NYR_D211349,Intercept]	0.95	0.8	median	-0.06950536051920479	0.07180812715310193	0.31874804772673954	0.5503395383111378	0.6698617893378949
r_site:id[NYR_D211350,Intercept]	0.95	0.8	median	-0.40193792403337825	-0.20281157377556988	0.11861540456489908	0.45040992047241546	0.6584787034539502
r_site:id[NYR_D211411,Intercept]	0.95	0.8	median	-0.8468985871556096	-0.7305101658445785	-0.45617769835612315	-0.16954094580643764	-0.01072926805269891
r_site:id[NYR_D211412,Intercept]	0.95	0.8	median	-0.804299740374798	-0.6163464612642529	-0.2697635901720558	0.05384495899859818	0.2375294954165204
r_site:id[NYR_D211431,Intercept]	0.95	0.8	median	-0.41000781382421064	-0.30449338430517164	-0.07003105808270244	0.16082379918659614	0.29929345979966604
r_site:id[NYR_D211461,Intercept]	0.95	0.8	median	-0.45973567276903565	-0.32946884806410065	-0.050112044819243466	0.20629990252902208	0.35460673233820966
r_site:id[NYR_D217821,Intercept]	0.95	0.8	median	0.026489599506163322	0.1516921327744656	0.38386481754024404	0.6132334222401796	0.7559184547651109
r_site:id[NYR_D217870,Intercept]	0.95	0.8	median	-0.44886992661199526	-0.27969786750228	0.05263772809546452	0.39285496689162075	0.5940791850241937
r_site:id[NYR_D217910,Intercept]	0.95	0.8	median	0.045531088818227386	0.16107955787337025	0.3953979749288852	0.6360329659418802	0.7796334504738808
r_site:id[NYR_D217911,Intercept]	0.95	0.8	median	-0.3253269200221922	-0.1911758022587499	0.050419751828353246	0.2859973654340847	0.40074651132859324
r_site:id[NYR_D217947,Intercept]	0.95	0.8	median	-0.9269828784822796	-0.8142438213671669	-0.5990227361816585	-0.38245517329219636	-0.28092267041206703
r_site:id[NYR_D217949,Intercept]	0.95	0.8	median	-0.279383870496374	-0.13220391421951366	0.14969560778531898	0.4145140246485283	0.5431376420615034
r_site:id[NYR_D217961,Intercept]	0.95	0.8	median	-0.2259547883584145	-0.11769406702587959	0.09599519425658944	0.29559811610700953	0.40113755087818226
r_site:id[NYR_D217964,Intercept]	0.95	0.8	median	-0.5372389260525943	-0.3999326540262109	-0.15480428985548922	0.09033496667337443	0.22831916914986872
r_site:id[NYR_D217965,Intercept]	0.95	0.8	median	-0.6212287051510519	-0.5126466898423424	-0.2961914607379751	-0.08917935218251614	0.02391871128095903
r_site:id[NYR_D229082,Intercept]	0.95	0.8	median	-0.7486542295962991	-0.5863546488814165	-0.31208585293288893	-0.023071522611155	0.13748832656832058
r_site:id[NYR_D229093,Intercept]	0.95	0.8	median	0.2475349460268989	0.4175801473639278	0.7796698732356757	1.1307570418742334	1.3242966845212893
r_site:id[NYR_D229096,Intercept]	0.95	0.8	median	-0.5696105828120497	-0.45608784463411944	-0.24744030072748896	-0.040918700380144175	0.07916944313665454
r_site:id[NYR_D229154,Intercept]	0.95	0.8	median	-0.020012876150289544	0.11147897662764776	0.35910990395755504	0.5825756786168584	0.7130506643015427
