parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[NYR_D229716,Intercept]	0.95	0.8	median	-0.5009479154845673	-0.2937891223780575	0.07086180137023315	0.4392586167358052	0.6232690434737843
r_site:id[NYR_D229718,Intercept]	0.95	0.8	median	-0.39128524891374206	-0.22659518236483353	0.07078475463077835	0.3480570607195036	0.49560860335556256
r_site:id[NYR_D229770,Intercept]	0.95	0.8	median	-0.8375223687355934	-0.6063975816560159	-0.20579711993016453	0.18306917970730235	0.3781856696109568
r_site:id[NYR_D229772,Intercept]	0.95	0.8	median	-0.6603723602816359	-0.4951759112003355	-0.17678225033968173	0.1394093803647137	0.3126966445681946
r_site:id[NYR_D229783,Intercept]	0.95	0.8	median	-0.48509753937320527	-0.2818180444011455	0.07204329215173996	0.4585494347320612	0.666747167681581
r_site:id[NYR_D229784,Intercept]	0.95	0.8	median	-0.8298553070462809	-0.6068983781353413	-0.2477496267367504	0.09847588849344953	0.2849928204473226
r_site:id[NYR_D237276,Intercept]	0.95	0.8	median	-0.4745438901620712	-0.27361970336559543	0.05793359591313617	0.4110586362587905	0.6078530403239474
r_site:id[NYR_D237352,Intercept]	0.95	0.8	median	-0.5199266318050334	-0.3377517532457172	0.03690175171317246	0.39064806417952236	0.6158449778863704
r_site:id[NYR_D237360,Intercept]	0.95	0.8	median	-0.5433276354004639	-0.3445479583018304	0.026410694884940238	0.3953681445406105	0.5880943561227405
r_site:id[NYR_D237361,Intercept]	0.95	0.8	median	-0.47141899473329646	-0.2702394349491368	0.06787840921338362	0.4064971318496102	0.578117093935309
r_site:id[NYR_D237378,Intercept]	0.95	0.8	median	-0.5754148190925203	-0.3671313578155601	-0.013030332035894711	0.3630501685101795	0.5616899460513218
r_site:id[NYR_D237391,Intercept]	0.95	0.8	median	-0.5305899672809219	-0.3678818862629797	-0.07248613407013729	0.20401620697291462	0.35340593060546743
r_site:id[NYR_D237394,Intercept]	0.95	0.8	median	-0.5534408780260528	-0.34950532488578345	-0.017810463883643934	0.3235131332374985	0.5040299729288311
r_site:id[NYR_D243901,Intercept]	0.95	0.8	median	-0.5938129166705984	-0.3869018090872855	-0.04536558467723384	0.2951839693192309	0.47564354342894055
r_site:id[NYR_D243916,Intercept]	0.95	0.8	median	-0.6326092669971354	-0.43584566089346066	-0.0849133153122554	0.23697101512196223	0.4367845914102737
r_site:id[NYR_D243918,Intercept]	0.95	0.8	median	-0.5547396794092302	-0.3563519199742289	0.0216761297529406	0.3736007883247641	0.5817080421616585
