id	gerp_cat	n_total	n_genotyped	gerp_count_t_v2	gerp_Lt_additive
D229160	3-4	536380	495319	86419	0.17447140125858285
D229160	4-5	404284	379136	57880	0.15266289669142472
D229161	0-1	1016065	892504	170487.5	0.19102155284458108
D229161	1-2	536152	462095	84959	0.18385613347904653
D229161	2-3	421585	364946	65278	0.1788702986195218
D229161	3-4	536380	489948	85547.5	0.17460526423212258
D229161	4-5	404284	377148	57653.5	0.15286704423727554
D229162	0-1	1016065	1000264	193112.5	0.19306153175561652
D229162	1-2	536152	530912	98378.5	0.18530095383038997
D229162	2-3	421585	417316	74989	0.17969356554745086
D229162	3-4	536380	529711	92816.5	0.17522101674309198
D229162	4-5	404284	399690	61182	0.15307363206485025
D229164	0-1	1016065	956403	184167	0.19256213123547292
D229164	1-2	536152	512688	95244	0.18577380395094092
D229164	2-3	421585	403465	72550.5	0.17981857162331305
D229164	3-4	536380	515036	89934	0.1746169199822925
D229164	4-5	404284	389671	59547.5	0.15281481044265546
D229165	0-1	1016065	866797	165569	0.19101242851555786
D229165	1-2	536152	466955	85905	0.18396847661980276
D229165	2-3	421585	368402	65916.5	0.1789254672884512
D229165	3-4	536380	484130	84275	0.17407514510565344
D229165	4-5	404284	371390	56591	0.15237620829855408
D229167	0-1	1016065	983275	189011	0.1922259795072589
D229167	1-2	536152	519375	95954.5	0.1847499398315283
D229167	2-3	421585	408989	73398.5	0.17946326184811817
D229167	3-4	536380	523899	91372	0.17440766254564333
D229167	4-5	404284	396148	60353.5	0.15235088906166383
D229170	0-1	1016065	984905	189595.5	0.19250130723267728
D229170	1-2	536152	521929	96605	0.1850922251877171
D229170	2-3	421585	410997	73644.5	0.1791850062165904
D229170	3-4	536380	524022	91578	0.17475983832739847
D229170	4-5	404284	395630	60475	0.15285746783610948
D229171	0-1	1016065	891368	169408	0.19005393956256003
D229171	1-2	536152	471467	86570	0.18361836565443604
D229171	2-3	421585	371521	66138	0.1780195466743468
D229171	3-4	536380	488424	84953	0.173932894370465
D229171	4-5	404284	372619	56720.5	0.15222116961292903
D229186	0-1	1016065	888597	169705	0.19098083833278753
D229186	1-2	536152	475837	87621	0.1841407877067147
D229186	2-3	421585	375208	66946.5	0.17842503358137354
D229186	3-4	536380	476209	82536	0.17331885789642784
D229186	4-5	404284	360688	54468.5	0.15101278667435566
D229192	0-1	1016065	899359	171685.5	0.19089762819963996
