      5 ScEsiA3_12212;HRSCAF=13544
      2 ScEsiA3_12213;HRSCAF=13545
     67 ScEsiA3_12214;HRSCAF=13546
      8 ScEsiA3_12215;HRSCAF=13548
     20 ScEsiA3_12217;HRSCAF=13550
     11 ScEsiA3_12218;HRSCAF=13553
      2 ScEsiA3_12220;HRSCAF=13555
     18 ScEsiA3_12221;HRSCAF=13556
      1 ScEsiA3_12223;HRSCAF=13560
     23 ScEsiA3_12225;HRSCAF=13564
     26 ScEsiA3_12226;HRSCAF=13567
      4 ScEsiA3_12227;HRSCAF=13571
     27 ScEsiA3_12230;HRSCAF=13581
     44 ScEsiA3_12233;HRSCAF=13592
     10 ScEsiA3_12234;HRSCAF=13596
      3 ScEsiA3_12236;HRSCAF=13599
     54 ScEsiA3_12237;HRSCAF=13602
      2 ScEsiA3_12240;HRSCAF=13607
      6 ScEsiA3_12241;HRSCAF=13608
     12 ScEsiA3_12242;HRSCAF=13609
     10 ScEsiA3_12245;HRSCAF=13614
     10 ScEsiA3_12248;HRSCAF=13620
      4 ScEsiA3_12250;HRSCAF=13628
     52 ScEsiA3_12251;HRSCAF=13632
     21 ScEsiA3_12252;HRSCAF=13635
     30 ScEsiA3_12254;HRSCAF=13639
     59 ScEsiA3_12256;HRSCAF=13643
      5 ScEsiA3_12257;HRSCAF=13645
      6 ScEsiA3_12259;HRSCAF=13650
      7 ScEsiA3_12260;HRSCAF=13653
      4 ScEsiA3_12261;HRSCAF=13659
    113 ScEsiA3_12262;HRSCAF=13660
     29 ScEsiA3_12263;HRSCAF=13661
      3 ScEsiA3_12264;HRSCAF=13662
     38 ScEsiA3_12266;HRSCAF=13664
     43 ScEsiA3_12268;HRSCAF=13667
      2 ScEsiA3_12269;HRSCAF=13669
    160 ScEsiA3_12270;HRSCAF=13670
      7 ScEsiA3_12272;HRSCAF=13687
     13 ScEsiA3_12273;HRSCAF=13689
     10 ScEsiA3_12274;HRSCAF=13690
      7 ScEsiA3_12275;HRSCAF=13692
      1 ScEsiA3_12276;HRSCAF=13696
      9 ScEsiA3_1227;HRSCAF=1836
     12 ScEsiA3_12281;HRSCAF=13710
      7 ScEsiA3_12282;HRSCAF=13713
     11 ScEsiA3_12283;HRSCAF=13714
     26 ScEsiA3_12284;HRSCAF=13715
      6 ScEsiA3_12286;HRSCAF=13721
     20 ScEsiA3_12289;HRSCAF=13732
      5 ScEsiA3_1228;HRSCAF=1837
      4 ScEsiA3_12293;HRSCAF=13740
     24 ScEsiA3_12295;HRSCAF=13742
      7 ScEsiA3_12296;HRSCAF=13747
     43 ScEsiA3_12297;HRSCAF=13749
     25 ScEsiA3_12298;HRSCAF=13753
     12 ScEsiA3_12299;HRSCAF=13754
      7 ScEsiA3_12300;HRSCAF=13757
     17 ScEsiA3_12306;HRSCAF=13775
      9 ScEsiA3_12307;HRSCAF=13776
     21 ScEsiA3_12308;HRSCAF=13779
      9 ScEsiA3_12309;HRSCAF=13785
      6 ScEsiA3_12310;HRSCAF=13787
     34 ScEsiA3_12315;HRSCAF=13793
      4 ScEsiA3_12316;HRSCAF=13794
     18 ScEsiA3_12317;HRSCAF=13797
      7 ScEsiA3_12318;HRSCAF=13799
      2 ScEsiA3_12321;HRSCAF=13804
      1 ScEsiA3_12322;HRSCAF=13805
      6 ScEsiA3_12324;HRSCAF=13807
     22 ScEsiA3_12325;HRSCAF=13808
      9 ScEsiA3_12332;HRSCAF=13831
      7 ScEsiA3_12335;HRSCAF=13840
      5 ScEsiA3_12336;HRSCAF=13841
     28 ScEsiA3_12337;HRSCAF=13845
      4 ScEsiA3_12338;HRSCAF=13847
      2 ScEsiA3_12339;HRSCAF=13851
     18 ScEsiA3_1233;HRSCAF=1842
      2 ScEsiA3_12341;HRSCAF=13853
     59 ScEsiA3_12342;HRSCAF=13855
     13 ScEsiA3_12346;HRSCAF=13860
     13 ScEsiA3_12347;HRSCAF=13861
     15 ScEsiA3_12348;HRSCAF=13863
     16 ScEsiA3_12349;HRSCAF=13864
      2 ScEsiA3_12354;HRSCAF=13871
      6 ScEsiA3_12355;HRSCAF=13872
      5 ScEsiA3_1235;HRSCAF=1844
     24 ScEsiA3_12360;HRSCAF=13884
      1 ScEsiA3_12361;HRSCAF=13886
     23 ScEsiA3_12363;HRSCAF=13891
      4 ScEsiA3_12367;HRSCAF=13899
      8 ScEsiA3_12370;HRSCAF=13902
     21 ScEsiA3_12371;HRSCAF=13903
     11 ScEsiA3_12372;HRSCAF=13906
      2 ScEsiA3_12373;HRSCAF=13909
     10 ScEsiA3_12374;HRSCAF=13910
      6 ScEsiA3_12375;HRSCAF=13911
      1 ScEsiA3_12377;HRSCAF=13914
    132 ScEsiA3_12378;HRSCAF=13919
