X,loc,file,id_k,E,L,run,rawid,id
112,/vol/cluster-data/rchen/wgr/data/processed/D237300k_E100042332_L01_ANIscleR181548-621.sorted.bam,D237300k_E100042332_L01_ANIscleR181548-621.sorted.bam,D237300k,E100042332,L01,ANIscleR181548-621.sorted.bam,D237300,D237300
113,/vol/cluster-data/rchen/wgr/data/processed/D237304k_E100048304_L01_ANIqvhbR216088-691.sorted.bam,D237304k_E100048304_L01_ANIqvhbR216088-691.sorted.bam,D237304k,E100048304,L01,ANIqvhbR216088-691.sorted.bam,D237304,D237304
114,/vol/cluster-data/rchen/wgr/data/processed/D237307_E100046248_L01_LYRfjwqR198721-625.sorted.bam,D237307_E100046248_L01_LYRfjwqR198721-625.sorted.bam,D237307,E100046248,L01,LYRfjwqR198721-625.sorted.bam,D237307,D237307
115,/vol/cluster-data/rchen/wgr/data/processed/D237310k_E100048304_L01_ANIqvhbR216089-692.sorted.bam,D237310k_E100048304_L01_ANIqvhbR216089-692.sorted.bam,D237310k,E100048304,L01,ANIqvhbR216089-692.sorted.bam,D237310,D237310
116,/vol/cluster-data/rchen/wgr/data/processed/D237311_E100048228_L01_ANIqvhbR216107-648.sorted.bam,D237311_E100048228_L01_ANIqvhbR216107-648.sorted.bam,D237311,E100048228,L01,ANIqvhbR216107-648.sorted.bam,D237311,D237311
117,/vol/cluster-data/rchen/wgr/data/processed/D237313k_E100041398_L01_ANIscleR181562-401.sorted.bam,D237313k_E100041398_L01_ANIscleR181562-401.sorted.bam,D237313k,E100041398,L01,ANIscleR181562-401.sorted.bam,D237313,D237313
118,/vol/cluster-data/rchen/wgr/data/processed/D237325k_E100041398_L01_ANIscleR181563-402.sorted.bam,D237325k_E100041398_L01_ANIscleR181563-402.sorted.bam,D237325k,E100041398,L01,ANIscleR181563-402.sorted.bam,D237325,D237325
119,/vol/cluster-data/rchen/wgr/data/processed/D237327k_E100042332_L01_ANIscleR181549-631.sorted.bam,D237327k_E100042332_L01_ANIscleR181549-631.sorted.bam,D237327k,E100042332,L01,ANIscleR181549-631.sorted.bam,D237327,D237327
120,/vol/cluster-data/rchen/wgr/data/processed/D237337k_E100041398_L01_ANIscleR181564-403.sorted.bam,D237337k_E100041398_L01_ANIscleR181564-403.sorted.bam,D237337k,E100041398,L01,ANIscleR181564-403.sorted.bam,D237337,D237337
121,/vol/cluster-data/rchen/wgr/data/processed/D237339k_E100041398_L01_ANIscleR181565-404.sorted.bam,D237339k_E100041398_L01_ANIscleR181565-404.sorted.bam,D237339k,E100041398,L01,ANIscleR181565-404.sorted.bam,D237339,D237339
122,/vol/cluster-data/rchen/wgr/data/processed/D237340k_E100041398_L01_ANIscleR181566-405.sorted.bam,D237340k_E100041398_L01_ANIscleR181566-405.sorted.bam,D237340k,E100041398,L01,ANIscleR181566-405.sorted.bam,D237340,D237340
123,/vol/cluster-data/rchen/wgr/data/processed/D237352k_E100046248_L01_LYRfjwqR198702-405.sorted.bam,D237352k_E100046248_L01_LYRfjwqR198702-405.sorted.bam,D237352k,E100046248,L01,LYRfjwqR198702-405.sorted.bam,D237352,D237352
124,/vol/cluster-data/rchen/wgr/data/processed/D237355k_E100048304_L01_ANIqvhbR216090-693.sorted.bam,D237355k_E100048304_L01_ANIqvhbR216090-693.sorted.bam,D237355k,E100048304,L01,ANIqvhbR216090-693.sorted.bam,D237355,D237355
125,/vol/cluster-data/rchen/wgr/data/processed/D237360k_E100042332_L01_ANIscleR181550-642.sorted.bam,D237360k_E100042332_L01_ANIscleR181550-642.sorted.bam,D237360k,E100042332,L01,ANIscleR181550-642.sorted.bam,D237360,D237360
126,/vol/cluster-data/rchen/wgr/data/processed/D237361k_E100044901_L01_merge.sorted.bam,D237361k_E100044901_L01_merge.sorted.bam,D237361k,E100044901,L01,merge.sorted.bam,D237361,D237361
127,/vol/cluster-data/rchen/wgr/data/processed/D237369k_E100042332_L01_ANIscleR181551-646.sorted.bam,D237369k_E100042332_L01_ANIscleR181551-646.sorted.bam,D237369k,E100042332,L01,ANIscleR181551-646.sorted.bam,D237369,D237369
128,/vol/cluster-data/rchen/wgr/data/processed/D237370_E100048228_L01_ANIqvhbR216108-657.sorted.bam,D237370_E100048228_L01_ANIqvhbR216108-657.sorted.bam,D237370,E100048228,L01,ANIqvhbR216108-657.sorted.bam,D237370,D237370
129,/vol/cluster-data/rchen/wgr/data/processed/D237371_E100041924_L01_ANIscleR181623-752.sorted.bam,D237371_E100041924_L01_ANIscleR181623-752.sorted.bam,D237371,E100041924,L01,ANIscleR181623-752.sorted.bam,D237371,D237371
130,/vol/cluster-data/rchen/wgr/data/processed/D237378k_E100048304_L01_ANIqvhbR216091-709.sorted.bam,D237378k_E100048304_L01_ANIqvhbR216091-709.sorted.bam,D237378k,E100048304,L01,ANIqvhbR216091-709.sorted.bam,D237378,D237378
131,/vol/cluster-data/rchen/wgr/data/processed/D237379_E100046248_L01_LYRfjwqR198722-626.sorted.bam,D237379_E100046248_L01_LYRfjwqR198722-626.sorted.bam,D237379,E100046248,L01,LYRfjwqR198722-626.sorted.bam,D237379,D237379
132,/vol/cluster-data/rchen/wgr/data/processed/D237385k_E100048304_L01_ANIqvhbR216092-718.sorted.bam,D237385k_E100048304_L01_ANIqvhbR216092-718.sorted.bam,D237385k,E100048304,L01,ANIqvhbR216092-718.sorted.bam,D237385,D237385
133,/vol/cluster-data/rchen/wgr/data/processed/D237389k_E100048304_L01_ANIqvhbR216093-719.sorted.bam,D237389k_E100048304_L01_ANIqvhbR216093-719.sorted.bam,D237389k,E100048304,L01,ANIqvhbR216093-719.sorted.bam,D237389,D237389
134,/vol/cluster-data/rchen/wgr/data/processed/D237391_E100041924_L01_ANIscleR181624-753.sorted.bam,D237391_E100041924_L01_ANIscleR181624-753.sorted.bam,D237391,E100041924,L01,ANIscleR181624-753.sorted.bam,D237391,D237391
135,/vol/cluster-data/rchen/wgr/data/processed/D237394k_E100046248_L01_LYRfjwqR198704-407.sorted.bam,D237394k_E100046248_L01_LYRfjwqR198704-407.sorted.bam,D237394k,E100046248,L01,LYRfjwqR198704-407.sorted.bam,D237394,D237394
136,/vol/cluster-data/rchen/wgr/data/processed/D243901k_E100041398_L01_ANIscleR181567-410.sorted.bam,D243901k_E100041398_L01_ANIscleR181567-410.sorted.bam,D243901k,E100041398,L01,ANIscleR181567-410.sorted.bam,D243901,D243901
137,/vol/cluster-data/rchen/wgr/data/processed/D243906k_E100041398_L01_ANIscleR181568-655.sorted.bam,D243906k_E100041398_L01_ANIscleR181568-655.sorted.bam,D243906k,E100041398,L01,ANIscleR181568-655.sorted.bam,D243906,D243906
138,/vol/cluster-data/rchen/wgr/data/processed/D243907_E100041922_L01_ANIscleR181625-754.sorted.bam,D243907_E100041922_L01_ANIscleR181625-754.sorted.bam,D243907,E100041922,L01,ANIscleR181625-754.sorted.bam,D243907,D243907
139,/vol/cluster-data/rchen/wgr/data/processed/D243916k_E100041398_L01_ANIscleR181569-681.sorted.bam,D243916k_E100041398_L01_ANIscleR181569-681.sorted.bam,D243916k,E100041398,L01,ANIscleR181569-681.sorted.bam,D243916,D243916
140,/vol/cluster-data/rchen/wgr/data/processed/D243918k_E100041398_L01_ANIscleR181570-682.sorted.bam,D243918k_E100041398_L01_ANIscleR181570-682.sorted.bam,D243918k,E100041398,L01,ANIscleR181570-682.sorted.bam,D243918,D243918
141,/vol/cluster-data/rchen/wgr/data/processed/D243930k_E100041398_L01_ANIscleR181571-683.sorted.bam,D243930k_E100041398_L01_ANIscleR181571-683.sorted.bam,D243930k,E100041398,L01,ANIscleR181571-683.sorted.bam,D243930,D243930
142,/vol/cluster-data/rchen/wgr/data/processed/D243937k_E100041398_L01_ANIscleR181572-684.sorted.bam,D243937k_E100041398_L01_ANIscleR181572-684.sorted.bam,D243937k,E100041398,L01,ANIscleR181572-684.sorted.bam,D243937,D243937
